zip,geo_status,production_dev_pairs,shadow_dev_pairs,intersection,production_only_refuted,shadow_only_added,points_resolved,missing_descriptive_fields,satisfies_maps_shape
01225,boundary_complete,9,9,9,0,0,9,0,YES
01226,boundary_complete,20,7,6,14,1,7,0,YES
01227,not_measured,20,0,0,,0,0,0,PRESERVES_LEGACY
01229,boundary_complete,15,2,2,13,0,2,0,YES
01230,boundary_complete,15,27,15,0,12,27,0,YES
01235,boundary_complete,6,7,6,0,1,7,0,YES
01236,boundary_complete,12,2,2,10,0,2,0,YES
01237,boundary_complete,13,10,9,4,1,10,0,YES
01238,boundary_complete,32,29,29,3,0,29,0,YES
01240,boundary_complete,16,14,13,3,1,14,0,YES
01242,boundary_complete,34,1,1,33,0,1,0,YES
01243,boundary_complete,1,1,1,0,0,1,0,YES
01244,boundary_complete,5,1,1,4,0,1,0,YES
01245,boundary_complete,5,4,4,1,0,4,0,YES
01247,boundary_complete,20,23,19,1,4,23,0,YES
01253,boundary_complete,8,7,7,1,0,7,0,YES
01254,boundary_complete,9,2,2,7,0,2,0,YES
01255,boundary_complete,4,8,4,0,4,8,0,YES
01256,boundary_complete,3,7,3,0,4,7,0,YES
01257,boundary_complete,10,12,9,1,3,12,0,YES
01258,boundary_complete,3,5,1,2,4,5,0,YES
01259,boundary_complete,7,7,4,3,3,7,0,YES
01260,boundary_complete,32,1,1,31,0,1,0,YES
01262,boundary_complete,20,9,9,11,0,9,0,YES
01263,not_measured,16,0,0,,0,0,0,PRESERVES_LEGACY
01264,boundary_complete,6,2,2,4,0,2,0,YES
01266,boundary_complete,10,9,7,3,2,9,0,YES
01267,boundary_complete,16,15,14,2,1,15,0,YES
01270,boundary_complete,5,4,4,1,0,4,0,YES
01331,boundary_complete,19,15,14,5,1,15,0,YES
01343,boundary_complete,7,5,5,2,0,5,0,YES
01366,boundary_complete,2,2,2,0,0,2,0,YES
01368,boundary_complete,9,5,5,4,0,5,0,YES
01420,boundary_complete,28,19,18,10,1,19,0,YES
01430,boundary_complete,3,2,2,1,0,2,0,YES
01431,boundary_complete,4,3,3,1,0,3,0,YES
01432,boundary_complete,9,3,3,6,0,3,0,YES
01434,boundary_complete,9,2,2,7,0,2,0,YES
01436,boundary_complete,14,4,4,10,0,4,0,YES
01438,boundary_complete,20,5,5,15,0,5,0,YES
01440,boundary_complete,22,15,15,7,0,15,0,YES
01450,boundary_complete,2,1,1,1,0,1,0,YES
01451,boundary_complete,11,6,6,5,0,6,0,YES
01452,boundary_complete,6,6,6,0,0,6,0,YES
01453,boundary_complete,28,23,23,5,0,23,0,YES
01460,boundary_complete,18,14,14,4,0,14,0,YES
01462,boundary_complete,14,5,5,9,0,5,0,YES
01463,boundary_complete,1,1,1,0,0,1,0,YES
01464,boundary_complete,3,2,2,1,0,2,0,YES
01467,not_measured,10,0,0,,0,0,0,PRESERVES_LEGACY
01468,boundary_complete,9,8,7,2,1,8,0,YES
01469,boundary_complete,2,1,1,1,0,1,0,YES
01470,not_measured,2,0,0,,0,0,0,PRESERVES_LEGACY
01471,not_measured,2,0,0,,0,0,0,PRESERVES_LEGACY
01472,not_measured,3,0,0,,0,0,0,PRESERVES_LEGACY
01473,boundary_complete,12,13,12,0,1,13,0,YES
01474,boundary_complete,6,1,1,5,0,1,0,YES
01475,boundary_complete,10,10,10,0,0,10,0,YES
01501,boundary_complete,54,29,28,26,1,29,0,YES
01503,boundary_complete,18,4,4,14,0,4,0,YES
01504,boundary_complete,7,4,4,3,0,4,0,YES
01505,boundary_complete,15,6,6,9,0,6,0,YES
01506,boundary_complete,13,8,8,5,0,8,0,YES
01507,boundary_complete,18,24,17,1,7,24,0,YES
