zip3,pages,fully_populated,pct_fully_populated,adjudicated,pending,terminal,placed_by_polygon,boundary_first_probed
206,15,13,86.7,23,2,9,0,no
207,49,36,73.5,250,1490,159,0,no
208,40,40,100.0,6140,0,0,0,no
209,8,8,100.0,2266,0,0,0,no
210,45,33,73.3,413,3449,0,0,no
211,27,19,70.4,556,2498,0,0,no
212,31,24,77.4,1542,692,0,0,no
214,5,0,0.0,28,1075,0,0,no
216,10,10,100.0,93,0,0,0,no
217,20,16,80.0,24,4,0,0,no
220,19,2,10.5,27,447,10437,0,no
221,16,1,6.2,14,252,6976,0,no
222,11,2,18.2,25,360,1414,0,no
223,11,2,18.2,14,328,4316,0,no
224,2,0,0.0,9,42,0,0,no
225,2,0,0.0,2,21,0,0,no
226,4,0,0.0,0,14,0,0,no
227,5,0,0.0,4,19,0,0,no
229,17,0,0.0,8,118,0,0,no
230,3,0,0.0,2,44,0,0,no
231,5,0,0.0,7,38,0,0,no
232,18,0,0.0,23,659,0,0,no
234,12,1,8.3,7,130,15387,0,no
238,6,0,0.0,6,80,0,0,no
245,2,0,0.0,0,2,0,0,no
249,10,0,0.0,0,30,0,0,no
250,23,0,0.0,0,95,0,0,no
251,21,0,0.0,0,108,0,0,no
252,6,0,0.0,0,18,0,0,no
253,14,0,0.0,0,267,0,0,no
254,18,0,0.0,0,117,0,0,no
255,11,0,0.0,0,65,0,0,no
257,6,0,0.0,0,100,0,0,no
258,21,0,0.0,0,119,0,0,no
259,17,0,0.0,0,60,0,0,no
261,11,0,0.0,0,47,0,0,no
262,1,0,0.0,0,2,0,0,no
263,10,0,0.0,0,97,0,0,no
264,9,0,0.0,0,46,0,0,no
265,20,0,0.0,0,153,0,0,no
266,1,0,0.0,0,3,0,0,no
272,5,0,0.0,0,15,0,0,no
273,5,0,0.0,0,23,0,0,no
275,31,10,32.3,8577,153,0,0,no
276,17,4,23.5,7396,197,0,0,no
277,9,0,0.0,37385,125,0,0,no
280,11,0,0.0,1279,697,0,0,no
281,12,0,0.0,139,320,0,0,no
282,29,0,0.0,0,19804,0,0,no
284,24,8,33.3,153486,37599,0,0,no
287,13,1,7.7,228,49,0,0,no
288,5,1,20.0,4372,44,0,0,no
290,18,0,0.0,0,142,0,0,no
291,9,0,0.0,0,89,0,0,no
292,13,0,0.0,0,431,0,0,no
293,32,0,0.0,0,270,0,0,no
294,47,0,0.0,33069,1169,0,0,no
295,16,0,0.0,0,104,0,0,no
296,24,0,0.0,0,324,0,0,no
297,15,0,0.0,0,134,0,0,no
299,14,0,0.0,0,159,0,0,no
300,53,13,24.5,159119,899,0,0,no
301,20,0,0.0,0,223,0,0,no
302,15,2,13.3,3000,125,0,0,no
303,38,7,18.4,134272,549,0,0,no
305,9,0,0.0,0,66,0,0,no
306,9,0,0.0,0,74,0,0,no
307,1,0,0.0,0,6,0,0,no
313,2,2,100.0,93,0,0,0,no
314,12,2,16.7,3489,33,0,0,no
320,5,0,0.0,0,10,0,0,no
322,1,0,0.0,0,4,0,0,no
327,6,0,0.0,0,16,0,0,no
328,25,0,0.0,0,125,0,0,no
330,37,0,0.0,0,232,0,0,no
331,60,0,0.0,35110,418,0,0,no
333,28,0,0.0,0,158,0,0,no
334,48,0,0.0,0,172,0,0,no
335,25,0,0.0,0,84,0,0,no
336,26,0,0.0,0,97,0,0,no
337,32,0,0.0,0,81,0,0,no
338,2,0,0.0,0,3,0,0,no
339,33,0,0.0,0,4699,0,0,no
341,13,0,0.0,0,55,0,0,no
342,23,0,0.0,0,45,0,0,no
346,8,0,0.0,0,35,0,0,no
347,6,0,0.0,0,13,0,0,no
350,16,6,37.5,12,11,0,0,no
351,11,2,18.2,4,9,0,0,no
352,23,7,30.4,33,22,0,0,no
354,8,1,12.5,2,9,0,0,no
355,3,1,33.3,1,4,0,0,no
356,13,5,38.5,1504,9,0,0,no
357,12,9,75.0,19303,3,0,0,no
358,11,11,100.0,71113,0,0,0,no
360,4,1,25.0,1,6,0,0,no
361,13,4,30.8,8,9,0,0,no
365,16,4,25.0,9,15,0,0,no
366,14,0,0.0,12,19,0,0,no
368,7,5,71.4,9,3,0,0,no
370,37,9,24.3,1240,129,0,0,no
371,22,7,31.8,2384,138,0,0,no
372,23,22,95.7,5988,25,0,0,no
373,15,14,93.3,7826,6,0,0,no
374,16,16,100.0,37211,0,0,0,no
377,6,5,83.3,309,1,0,0,no
378,6,6,100.0,617,0,0,0,no
379,19,18,94.7,7814,17,0,0,no
380,10,9,90.0,3408,4,0,0,no
381,31,31,100.0,44506,0,0,0,no
384,7,0,0.0,0,14,0,0,no
386,10,10,100.0,0,0,2708,0,no
400,15,0,0.0,788,134,0,0,no
401,6,0,0.0,86,29,0,0,no
402,34,5,14.7,6873,541,0,0,no
403,4,0,0.0,0,15,0,0,no
404,3,0,0.0,0,15,0,0,no
405,16,3,18.8,9277,182,0,0,no
410,26,0,0.0,0,1733,0,0,no
421,6,0,0.0,0,32,0,0,no
422,2,0,0.0,0,8,0,0,no
423,8,0,0.0,0,37,0,0,no
430,22,4,18.2,2326,29,0,0,no
431,10,0,0.0,1143,20,0,0,no
432,30,0,0.0,11187,160,0,0,no
433,3,0,0.0,0,5,0,0,no
434,3,0,0.0,0,6,0,0,no
435,11,0,0.0,1,37,0,0,no
436,16,0,0.0,16,149,0,0,no
440,8,0,0.0,15,44,0,0,no
441,47,1,2.1,90131,380,0,0,no
442,26,1,3.8,9,86,0,0,no
443,18,0,0.0,1,123,0,0,no
446,3,0,0.0,0,7,0,0,no
447,1,0,0.0,1,4,0,0,no
450,31,1,3.2,4,213,0,0,no
451,7,1,14.3,7,15,0,0,no
452,45,0,0.0,19,562,2866,0,no
453,7,0,0.0,0,17,0,0,no
454,26,0,0.0,0,220,0,0,no
460,19,0,0.0,0,145,0,0,no
461,28,0,0.0,0,223,0,0,no
462,38,0,0.0,0,709,0,0,no
463,30,0,0.0,26,368,0,0,no
464,9,0,0.0,0,183,0,0,no
467,17,0,0.0,0,125,0,0,no
468,16,0,0.0,0,460,0,0,no
469,1,0,0.0,0,9,0,0,no
472,1,0,0.0,0,3,0,0,no
474,17,0,0.0,0,179,0,0,no
479,18,0,0.0,0,161,0,0,no
480,44,5,11.4,148,73,0,0,no
481,65,17,26.2,1846,82,0,0,no
482,42,2,4.8,22570,229,0,0,no
483,49,7,14.3,2622,77,0,0,no
484,12,7,58.3,10,7,0,0,no
485,12,0,0.0,445,62,0,0,no
488,15,2,13.3,133,32,0,0,no
489,9,0,0.0,337,48,0,0,no
492,3,1,33.3,2,3,0,0,no
493,7,2,28.6,8,10,0,0,no
494,16,1,6.2,246,38,0,0,no
495,21,3,14.3,461,88,0,0,no
500,12,1,8.3,12,17,0,0,no
501,4,0,0.0,0,4,0,0,no
502,5,1,20.0,2,4,0,0,no
503,14,1,7.1,14,32,0,0,no
